event_date	event_name	event_name_long	price_code	section_name	row_name	first_seat	last_seat	num_seats	block_purchase_price	sale_date
2021-05-25	20PNR1VB	2021 NBA Playoffs - Round 1 - Home Game B	R*	121	8	14	15	2	370.00	2021-05-23 05:31:57.030
2021-05-25	20PNR1VB	2021 NBA Playoffs - Round 1 - Home Game B	V*	231	1	23	24	2	250.00	2021-05-18 10:18:07.280
2021-05-25	20PNR1VB	2021 NBA Playoffs - Round 1 - Home Game B	K*	13	15	1	1	1	260.00	2021-05-24 05:29:10.380
2021-05-25	20PNR1VB	2021 NBA Playoffs - Round 1 - Home Game B	N*	108	4	1	1	1	335.00	2021-05-23 22:42:08.990
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	Q*	126	7	3	4	2	450.00	2021-05-18 05:02:55.480
2021-05-25	20PNR1VB	2021 NBA Playoffs - Round 1 - Home Game B	W*	209	21	4	4	1	115.00	2021-05-18 05:06:28.810
2021-06-01	20PNR1VC	2021 NBA Playoffs - Round 1 - Home Game C	W*	209	19	8	8	1	150.00	2021-05-18 05:08:22.350
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	U*	204	1	17	20	4	580.00	2021-05-18 05:11:37.520
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	U*	209	9	10	13	4	580.00	2021-05-18 05:17:40.180
2021-05-25	20PNR1VB	2021 NBA Playoffs - Round 1 - Home Game B	Q*	126	7	3	4	2	420.00	2021-05-18 06:08:59.980
2021-05-25	20PNR1VB	2021 NBA Playoffs - Round 1 - Home Game B	R*	121	9	22	24	3	555.00	2021-05-22 04:48:50.090
2021-05-25	20PNR1VB	2021 NBA Playoffs - Round 1 - Home Game B	J*	19	14	9	9	1	245.00	2021-05-18 06:13:55.980
2021-05-25	20PNR1VB	2021 NBA Playoffs - Round 1 - Home Game B	T*	207	5	9	11	3	480.00	2021-05-18 06:23:01.280
2021-05-25	20PNR1VB	2021 NBA Playoffs - Round 1 - Home Game B	Q*	126	7	5	6	2	420.00	2021-05-18 06:39:34.650
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	U*	209	9	7	8	2	290.00	2021-05-18 06:40:14.380
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	F*	19	2	8	9	2	640.00	2021-05-22 05:01:07.980
2021-05-22	20PNR1GA	2021 NBA Playoffs - Round 1 - Home Game A	Y*	205	15	12	13	2	190.00	2021-05-22 05:14:21.620
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	M*	31	18	27	27	1	200.00	2021-05-17 19:29:44.560
2021-05-22	20PNR1GA	2021 NBA Playoffs - Round 1 - Home Game A	W*	226	9	9	10	2	460.00	2021-05-18 23:56:48.180
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	W*	209	20	26	26	1	145.00	2021-05-18 23:57:43.970
2021-05-22	20PNR1GA	2021 NBA Playoffs - Round 1 - Home Game A	X*	226	19	9	10	2	410.00	2021-05-18 23:58:10.900
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	K*	31	12	8	10	3	915.00	2021-05-18 23:59:34.550
2021-05-22	20PNR1GA	2021 NBA Playoffs - Round 1 - Home Game A	V*	226	5	7	7	1	245.00	2021-05-19 00:00:41.910
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	G*	29	3	1	1	1	395.00	2021-05-19 00:01:26.150
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	U*	207	9	15	16	2	358.00	2021-05-19 00:04:54.810
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	V*	201	1	23	23	1	135.00	2021-05-18 10:07:12.100
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	S*	207WC	2W	12	12	1	189.00	2021-06-05 04:21:14.480
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	S*	207WC	2W	11	11	1	189.00	2021-06-05 04:21:14.480
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	L*	1	16	6	9	4	1156.00	2021-05-19 00:08:47.460
2021-05-25	20PNR1VB	2021 NBA Playoffs - Round 1 - Home Game B	V*	209	14	1	1	1	139.00	2021-05-19 00:09:08.870
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	W*	218	4	10	11	2	290.00	2021-05-19 00:11:09.800
2021-05-22	20PNR1VA	2021 NBA Playoffs - Round 1 - Home Game A	G*	25	18	1	2	2	790.00	2021-05-19 00:12:09.670
2021-05-22	20PNR1GA	2021 NBA Playoffs - Round 1 - Home Game A	U*	206	4	14	15	2	270.00	2021-05-22 05:34:13.300
2021-05-25	20PNR1GB	2021 NBA Playoffs - Round 1 - Home Game B	U*	226	2	6	7	2	640.00	2021-05-22 05:43:37.520
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	S*	207WC	2W	10	10	1	189.00	2021-06-05 04:21:14.480
2021-06-07	20PNR2VB	2021 NBA Playoffs - Round 2 - Home Game B	S*	207WC	2W	9	9	1	189.00	2021-06-05 04:21:14.480
2021-06-05	20PNR2VA	2021 NBA Playoffs - Round 2 - Home Game A	K*	4	16	10	10	1	255.00	2021-06-05 04:26:48.770
