event_date,event_name,event_name_long,price_code,old_value,new_value,price_delta,upd_datetime,price_change_seq
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,1,0,236500,236500,32:39.7,1
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,1,236500,157500,-79000,16:36.2,2
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,1,157500,6050,-151450,41:36.9,3
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,1,6050,1100,-4950,52:05.3,4
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,1,1100,6500,5400,52:12.3,5
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,1,6500,8000,1500,52:18.8,6
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,2,0,98900,98900,32:39.8,1
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,2,98900,6050,-92850,42:45.7,2
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,2,6050,1100,-4950,52:05.3,3
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,2,1100,6500,5400,52:12.3,4
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,2,6500,8000,1500,52:18.8,5
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,3,0,85979,85979,32:39.9,1
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,3,85979,157500,71521,16:36.3,2
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,3,157500,6050,-151450,42:45.7,3
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,3,6050,1100,-4950,52:05.3,4
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,3,1100,6500,5400,52:12.3,5
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,3,6500,8000,1500,52:18.8,6
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,4,0,47300,47300,32:40.0,1
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,4,47300,114540,67240,16:36.4,2
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,4,114540,6050,-108490,42:45.8,3
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,4,6050,4400,-1650,34:56.5,4
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,4,4400,1100,-3300,52:05.3,5
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,4,1100,6500,5400,52:12.3,6
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,4,6500,8000,1500,52:18.8,7
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,5,0,43000,43000,32:40.1,1
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,5,43000,59120,16120,16:36.5,2
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,5,59120,1960,-57160,42:45.9,3
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,5,1960,1820,-140,54:56.8,4
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,5,1960,1820,-140,54:56.8,5
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,5,1820,1100,-720,52:05.3,6
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,5,1100,4500,3400,52:12.3,7
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,6,0,30100,30100,32:40.2,1
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,6,30100,41100,11000,16:36.6,2
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,6,41100,1360,-39740,42:45.9,3
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,6,1360,1100,-260,52:05.3,4
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,6,1100,2920,1820,52:12.3,5
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,7,23650,38610,14960,16:36.7,1
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,7,38610,1280,-37330,42:46.0,2
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,7,1280,1325,45,54:56.8,3
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,7,1280,1325,45,54:56.8,4
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,7,1325,1100,-225,52:05.3,5
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,7,1100,2100,1000,52:12.3,6
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,7,2100,1200,-900,52:06.0,7
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,7,1200,870,-330,52:09.3,8
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,8,18275,32420,14145,16:36.7,1
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,8,32420,930,-31490,42:46.0,2
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,8,930,1100,170,52:05.3,3
