event_date	event_name	event_name_long	price_code	old_value	new_value	price_delta	upd_datetime	price_change_seq
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	Z	1030.00	590.00	-440.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	Z	590.00	565.00	-25.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	Y	265.00	185.00	-80.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	Y	185.00	125.00	-60.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	X	275.00	195.00	-80.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	X	195.00	130.00	-65.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	W	305.00	215.00	-90.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	W	215.00	185.00	-30.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	V	330.00	230.00	-100.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	V	230.00	200.00	-30.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	U	365.00	265.00	-100.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	U	265.00	230.00	-35.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	T	410.00	290.00	-120.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	T	290.00	255.00	-35.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	S	495.00	340.00	-155.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	S	340.00	300.00	-40.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	R	495.00	340.00	-155.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	R	340.00	300.00	-40.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	Q	560.00	390.00	-170.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	Q	390.00	340.00	-50.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	P	695.00	475.00	-220.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	P	475.00	415.00	-60.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	O	795.00	545.00	-250.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	O	545.00	480.00	-65.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	N	880.00	610.00	-270.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	N	610.00	540.00	-70.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	M	535.00	370.00	-165.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	M	370.00	320.00	-50.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	L	610.00	420.00	-190.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	L	420.00	365.00	-55.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	K	620.00	430.00	-190.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	K	430.00	375.00	-55.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	J	665.00	460.00	-205.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	J	460.00	400.00	-60.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	I	725.00	485.00	-240.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	I	485.00	425.00	-60.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	H	805.00	535.00	-270.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	H	535.00	470.00	-65.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	G	870.00	585.00	-285.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	G	585.00	515.00	-70.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	F	955.00	635.00	-320.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	F	635.00	560.00	-75.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	E	1005.00	660.00	-345.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	E	660.00	585.00	-75.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	D	1200.00	790.00	-410.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	D	790.00	690.00	-100.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	C	1255.00	825.00	-430.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	C	825.00	725.00	-100.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	B	1370.00	890.00	-480.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	B	890.00	780.00	-110.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	A	1510.00	980.00	-530.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	A	980.00	865.00	-115.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	9	1595.00	1030.00	-565.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	9	1030.00	910.00	-120.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	8	1655.00	1070.00	-585.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	8	1070.00	945.00	-125.000000	2021-06-06 12:52:14.127	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	7	2365.00	5000.00	2635.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	7	5000.00	1280.00	-3720.000000	2021-06-01 18:52:19.210	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	7	1280.00	1260.00	-20.000000	2021-06-06 12:52:14.127	3
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	6	2425.00	5000.00	2575.000000	2021-05-31 20:52:04.777	1
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	6	5000.00	1640.00	-3360.000000	2021-06-01 18:52:19.210	2
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	6	1640.00	1620.00	-20.000000	2021-06-06 12:52:14.127	3
2021-06-19	20PNR2VD	2021 NBA Playoffs - Round 2 - Home Game D	5	3240.00	5000.00	1760.000000	2021-05-31 20:52:04.777	1
