event_date,event_name,event_name_long,price_code,section_name,row_name,first_seat,last_seat,num_seats,block_purchase_price,sale_date
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,R*,121,8,14,15,2,370,31:57.0
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,V*,231,1,23,24,2,250,18:07.3
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,K*,13,15,1,1,1,260,29:10.4
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,N*,108,4,1,1,1,335,42:09.0
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Q*,126,7,3,4,2,450,02:55.5
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,W*,209,21,4,4,1,115,06:28.8
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,W*,209,19,8,8,1,150,08:22.3
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,204,1,17,20,4,580,11:37.5
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,209,9,10,13,4,580,17:40.2
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Q*,126,7,3,4,2,420,09:00.0
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,R*,121,9,22,24,3,555,48:50.1
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,J*,19,14,9,9,1,245,13:56.0
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,T*,207,5,9,11,3,480,23:01.3
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Q*,126,7,5,6,2,420,39:34.6
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,209,9,7,8,2,290,40:14.4
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,F*,19,2,8,9,2,640,01:08.0
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,205,15,12,13,2,190,14:21.6
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,M*,31,18,27,27,1,200,29:44.6
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,W*,226,9,9,10,2,460,56:48.2
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,209,20,26,26,1,145,57:44.0
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,X*,226,19,9,10,2,410,58:10.9
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,K*,31,12,8,10,3,915,59:34.5
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,V*,226,5,7,7,1,245,00:41.9
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,G*,29,3,1,1,1,395,01:26.1
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,207,9,15,16,2,358,04:54.8
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,V*,201,1,23,23,1,135,07:12.1
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,L*,1,16,6,9,4,1156,08:47.5
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,V*,209,14,1,1,1,139,09:08.9
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,218,4,10,11,2,290,11:09.8
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,G*,25,18,1,2,2,790,12:09.7
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,U*,206,4,14,15,2,270,34:13.3
5/25/2021,20PNR1GB,2021 NBA Playoffs - Round 1 - Home Game B,U*,226,2,6,7,2,640,43:37.5
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,W*,206,14,25,26,2,220,00:29.1
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,219,11,9,9,1,109,02:40.3
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,J*,29,12,1,2,2,740,29:37.3
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,M*,1,18,13,14,2,440,12:23.2
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,U*,209,8,6,8,3,465,12:41.7
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,203,11,4,4,1,109,44:22.6
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,209,11,1,2,2,358,15:24.8
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,218,10,13,13,1,109,15:48.4
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,X*,226,16,4,7,4,880,23:49.7
5/25/2021,20PNR1GB,2021 NBA Playoffs - Round 1 - Home Game B,R*,105,6,1,2,2,750,24:32.9
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,G*,25,18,14,17,4,1580,30:35.0
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,C*,8,15,13,14,2,1030,35:20.0
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Q*,106,7,6,8,3,600,18:53.9
6/5/2021,20PNR1VD,2021 NBA Playoffs - Round 1 - Home Game D,F*,19,2,3,4,2,980,23:10.9
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,204,5,12,13,2,290,34:18.7
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,218,10,16,18,3,327,41:05.7
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,204,11,8,8,1,129,46:54.8
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,M*,31,19,1,1,1,269,50:24.6
