event_date,event_name,event_name_long,price_code,section_name,row_name,first_seat,last_seat,num_seats,block_purchase_price,sale_date,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Q*,126,7,3,4,2,450,02:55.5,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,W*,209,21,1,4,4,460,06:28.8,,,
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,W*,209,19,8,8,1,150,08:22.3,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,204,1,17,20,4,580,11:37.5,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,209,9,10,13,4,580,17:40.2,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Q*,126,7,3,4,2,420,09:00.0,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,J*,19,14,9,9,1,245,13:56.0,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,T*,207,5,9,11,3,480,23:01.3,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Q*,126,7,5,6,2,420,39:34.6,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,209,9,7,8,2,290,40:14.4,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,M*,31,18,27,27,1,200,29:44.6,,,
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,G*,22,12,1,2,2,1840,36:49.4,,,
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,W*,226,9,9,10,2,460,56:48.2,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,209,20,24,26,3,435,57:44.0,,,
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,X*,226,19,9,10,2,410,58:10.9,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,K*,31,12,8,10,3,915,59:34.5,,,
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,V*,226,5,6,7,2,490,00:41.9,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,G*,29,3,1,1,1,395,01:26.1,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,207,9,15,16,2,358,04:54.8,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,L*,1,16,6,9,4,1156,08:47.5,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,V*,209,14,1,1,1,139,09:08.9,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,218,4,10,11,2,290,11:09.8,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,G*,25,18,1,2,2,790,12:09.7,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,219,11,9,9,1,109,02:40.3,,,
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,J*,29,12,1,2,2,740,29:37.3,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,M*,1,18,13,14,2,440,12:23.2,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,U*,209,8,6,8,3,465,12:41.7,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,203,11,4,4,1,109,44:22.6,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,209,11,1,2,2,358,15:24.8,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,218,10,13,14,2,218,15:48.4,,,
6/1/2021,20PNR1GC,2021 NBA Playoffs - Round 1 - Home Game C,X*,226,15,1,2,2,500,22:47.5,,,
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,X*,226,16,4,7,4,880,23:49.7,,,
5/25/2021,20PNR1GB,2021 NBA Playoffs - Round 1 - Home Game B,R*,105,6,1,2,2,750,24:32.9,375,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,G*,25,18,14,17,4,1580,30:35.0,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,204,5,12,13,2,290,34:18.7,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,218,10,15,18,4,436,41:05.7,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,204,11,7,8,2,258,46:54.8,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,M*,31,19,1,1,1,269,50:24.6,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,202,9,10,10,1,99,48:08.7,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Q*,126,7,7,8,2,420,51:03.6,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,218,11,15,18,4,396,52:58.3,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,202,9,11,12,2,198,02:15.8,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,204,7,5,6,2,290,52:41.7,,,
6/5/2021,20PNR1VD,2021 NBA Playoffs - Round 1 - Home Game D,R*,112,6,15,16,2,560,59:10.5,280,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,C*,7,10,17,18,2,1030,11:27.9,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,M*,1,19,3,4,2,538,28:09.1,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,W*,202,2,9,9,1,125,54:48.1,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,J*,29,12,4,4,1,265,18:13.9,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,J*,29,12,3,3,1,265,18:13.9,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,P*,123,8,11,12,2,570,54:39.9,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,219,11,6,7,2,258,28:18.3,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Y*,218,10,9,10,2,218,29:10.8,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,203,11,5,6,2,258,36:52.1,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,204,13,20,22,3,387,41:54.8,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,215,2,1,2,2,290,47:21.8,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,G*,29,4,1,2,2,790,13:07.5,,,
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,G*,29,3,1,3,3,1380,01:23.7,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,202,9,7,7,1,105,19:58.6,,,
6/5/2021,20PNR1VD,2021 NBA Playoffs - Round 1 - Home Game D,G*,29,3,1,3,3,1380,13:19.0,,,
5/25/2021,20PNR1GB,2021 NBA Playoffs - Round 1 - Home Game B,X*,226,19,1,2,2,410,15:40.3,,,
5/22/2021,20PNR1GA,2021 NBA Playoffs - Round 1 - Home Game A,R*,105,7,11,12,2,800,16:51.4,400,,230.7936508
5/25/2021,20PNR1GB,2021 NBA Playoffs - Round 1 - Home Game B,R*,105,5,14,16,3,1125,22:25.5,375,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,G*,25,18,1,2,2,720,35:49.7,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,R*,112,5,1,2,2,450,12:13.9,225,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,V*,204,2,1,3,3,507,17:00.9,,,
5/25/2021,20PNR1GB,2021 NBA Playoffs - Round 1 - Home Game B,T*,226,1,1,4,4,1220,25:46.4,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,I*,19,9,7,7,1,335,36:14.5,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,I*,19,9,8,8,1,335,36:14.5,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Y*,218,11,17,18,2,210,19:59.9,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Q*,126,9,1,2,2,420,22:47.8,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Q*,126,9,3,4,2,420,22:47.8,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,J*,29,12,1,2,2,490,23:27.9,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,J*,1,11,1,3,3,825,01:53.1,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,P*,126,4,6,7,2,570,04:12.8,,,
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,L*,19,18,13,14,2,680,18:43.5,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,207,9,11,12,2,358,58:49.3,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,R*,118,5,1,2,2,450,20:54.8,225,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,G*,29,3,3,3,1,395,33:32.9,,,
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,V*,217,1,1,4,4,660,25:47.5,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,K*,29,16,9,9,1,230,26:29.2,,,
6/5/2021,20PNR1VD,2021 NBA Playoffs - Round 1 - Home Game D,E*,9,13,5,6,2,950,29:13.7,,,
6/5/2021,20PNR1VD,2021 NBA Playoffs - Round 1 - Home Game D,V*,217,1,1,2,2,330,29:13.8,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,V*,217,1,25,26,2,270,32:39.0,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,V*,209,13,4,7,4,540,42:38.5,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,W*,207,21,15,18,4,460,45:55.9,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Q*,126,9,5,8,4,900,47:52.2,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Q*,110,7,4,5,2,520,06:47.3,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,J*,26,20,7,8,2,640,11:32.3,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,K*,31,12,18,18,1,245,48:50.1,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,U*,204,1,1,2,2,290,50:22.3,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,T*,207,5,6,7,2,340,51:37.0,,,
6/1/2021,20PNR1VC,2021 NBA Playoffs - Round 1 - Home Game C,W*,207,19,13,16,4,600,52:16.2,,,
6/5/2021,20PNR1VD,2021 NBA Playoffs - Round 1 - Home Game D,W*,209,17,8,11,4,600,54:57.0,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,M*,17,19,1,2,2,430,55:19.3,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,X*,218,5,15,16,2,210,55:53.7,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,Q*,126,8,1,4,4,900,01:02.0,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,S*,207,1,2,3,2,400,04:03.6,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,L*,19,19,3,4,2,480,04:24.4,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,W*,207,18,23,26,4,500,04:38.1,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,E*,9,14,9,10,2,770,06:43.0,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Q*,126,9,7,8,2,420,19:22.0,,,
5/25/2021,20PNR1VB,2021 NBA Playoffs - Round 1 - Home Game B,Q*,126,9,5,6,2,420,24:37.4,,,
5/22/2021,20PNR1VA,2021 NBA Playoffs - Round 1 - Home Game A,I*,26,16,3,6,4,1140,24:50.8,,,
