,event_date,event_id,event_name,section_name,row_name,ticket_type,add_datetime,sale_price,acct_id,channel,sale_type,seat_num
0,6/7/2021,64626,20PNR2VB,122,5,Full Strip,29:28.5,295,3907548,Internal,Archtics,8
1,6/5/2021,64625,20PNR2VA,122,5,Full Strip,29:28.5,295,3907548,Internal,Archtics,8
2,6/7/2021,64626,20PNR2VB,215,3,Group,43:48.7,75,7751079,Internal,Archtics,16
3,6/7/2021,64626,20PNR2VB,217,3,Group,43:48.7,75,7751079,Internal,Archtics,20
4,6/5/2021,64625,20PNR2VA,9,12,Individual,31:04.3,580,206129,Internal,Archtics,14
5,6/5/2021,64625,20PNR2VA,31,12,Individual,11:32.9,55,6426415,Internal,Archtics,5
6,6/5/2021,64625,20PNR2VA,31,13,Individual,11:35.2,55,16523631,Internal,Archtics,7
7,6/7/2021,64626,20PNR2VB,6,16,Full Strip,27:15.3,370,1422467,Internal,Archtics,8
8,6/5/2021,64625,20PNR2VA,6,16,Full Strip,27:15.3,370,1422467,Internal,Archtics,8
9,6/5/2021,64625,20PNR2VA,17,10,Individual,58:42.3,55,14431221,Internal,Archtics,3
10,6/7/2021,64626,20PNR2VB,215,3,Group,43:48.7,75,7751079,Internal,Archtics,10
11,6/7/2021,64626,20PNR2VB,215,3,Group,43:48.7,75,7751079,Internal,Archtics,14
12,6/5/2021,64625,20PNR2VA,217,6,Group,33:22.7,75,2152512,Internal,Archtics,4
13,6/5/2021,64625,20PNR2VA,218,6,Group,33:22.7,75,2152512,Internal,Archtics,4
14,6/5/2021,64625,20PNR2VA,217,6,Group,33:22.7,75,2152512,Internal,Archtics,6
15,6/5/2021,64625,20PNR2VA,217,6,Group,33:22.7,75,2152512,Internal,Archtics,9
16,6/5/2021,64625,20PNR2VA,218,6,Group,33:22.7,75,2152512,Internal,Archtics,8
17,6/5/2021,64625,20PNR2VA,117,5,Group,38:34.9,200,32054516,Internal,Archtics,6
18,6/5/2021,64625,20PNR2VA,117,5,Group,41:35.9,200,32054516,Internal,Archtics,9
19,6/7/2021,64626,20PNR2VB,FLR23,AA,Individual,42:38.5,7315,32136150,Internal,Archtics,16
20,6/5/2021,64625,20PNR2VA,117,5,Group,45:06.4,200,32177496,Internal,Archtics,14
21,6/7/2021,64626,20PNR2VB,214,5,Group,57:38.8,100,14435116,Internal,Archtics,2
22,6/5/2021,64625,20PNR2VA,214,7,Group,59:55.9,100,32177548,Internal,Archtics,8
23,6/5/2021,64625,20PNR2VA,214,6,Group,22:20.5,100,32177746,Internal,Archtics,17
24,6/5/2021,64625,20PNR2VA,117,6,Group,32:30.4,200,32067591,Internal,Archtics,13
25,6/5/2021,64625,20PNR2VA,117,6,Group,36:26.7,200,32067591,Internal,Archtics,10
26,6/5/2021,64625,20PNR2VA,16,C,Individual,10:48.8,75,29858781,Internal,Archtics,8
27,6/7/2021,64626,20PNR2VB,19,E,Individual,34:16.1,75,31353357,Internal,Archtics,4
28,6/7/2021,64626,20PNR2VB,19,17,Individual,11:34.5,55,18186771,Internal,Archtics,6
29,6/7/2021,64626,20PNR2VB,29,16,Individual,20:34.5,55,27824409,Internal,Archtics,17
30,6/7/2021,64626,20PNR2VB,108,4,Individual,34:08.1,55,29861380,Internal,Archtics,2
